Id,Predicted
0,7.211287722646154
1,1.2882257852191126
2,11.21566705056663
3,13.33717296600764
4,5.24298682420709
5,7.874497630352669
6,8.246783633880899
7,9.963392421231164
8,12.633070972468921
9,5.437705230825254
10,7.074885889427453
11,8.206166383144927
12,9.73522266936048
13,3.639527211562889
14,4.928967086759527
15,6.129224013910153
16,1.59911389058192
17,6.692506683689113
18,8.37916538704205
19,3.137287568325406
20,2.1685147263157685
21,6.879822479910935
22,3.5640157973206987
23,7.3606212600233745
24,3.7326046504358654
25,7.3580971263851795
26,5.542755218416341
27,6.579626084920699
28,4.0792171012957255
29,10.762924018809448
30,3.0811426450786588
31,5.923925965212177
32,3.044201012081854
33,8.117661357134534
34,12.629688818085357
35,9.371306638485754
36,8.072383277442777
37,10.100484915411739
38,8.763067378311783
39,13.970338888464507
40,6.169361492569286
41,3.8355735828958757
42,11.76188379635052
43,6.619645364100836
44,4.021730529368737
45,12.909187394909386
46,7.965567737852749
47,8.43218281344387
48,11.3187181606931
49,7.289495757109756
50,9.125037318058366
51,8.996694014883543
52,10.86261110069139
53,4.213411153516011
54,6.114933188304436
55,4.800291486606945
56,4.976097744186422
57,7.514689807886461
58,10.04198892043542
59,6.690660851707416
60,4.943162619287663
61,4.762612669073799
62,4.123257741298111
63,2.6843389488342266
64,6.445571301494359
65,18.005568073142296
66,10.541414276351286
67,9.64952199165898
68,11.733819857831909
69,9.418189003758346
70,5.274513765856771
71,6.302934479507527
72,12.868917227607353
73,9.907059115778093
74,9.458022148991054
75,7.337054672726536
76,6.323047439136139
77,17.717562644520847
78,10.03567741293831
79,14.722441205568707
80,7.561890374852527
81,5.425145539778267
82,11.785399735829035
83,12.083799573601018
84,2.8328723777801414
85,5.830556771194199
86,4.273169990134016
87,6.274209853588623
88,24.87652054774161
89,12.921394242052223
