Id,Predicted
0,8.043361435551617
1,2.4464410124978464
2,10.137909244390613
3,9.938088530107954
4,5.653471053895197
5,6.988300363175128
6,7.547469538021038
7,8.356260624454794
8,10.095423075559697
9,4.669643567541465
10,5.119011709491452
11,5.456561339377163
12,7.646399462521525
13,4.7792506424697185
14,5.432957220718703
15,4.773248759442888
16,1.678089160881366
17,3.3200969200904833
18,6.5807749062354794
19,3.6900182475751198
20,3.4018082324188206
21,6.846000012310519
22,3.2858866212766955
23,5.3479352634648025
24,3.476141730658269
25,7.277376237983295
26,5.899240609849225
27,4.978512884941929
28,4.970092721059065
29,9.998996166478726
30,2.7694023161269112
31,6.139624899490515
32,2.2347063948529593
33,7.836712445501358
34,10.712044210720055
35,8.005766354523747
36,6.472110837332902
37,9.310003831020772
38,8.881788062805029
39,8.266182520952745
40,4.822129279319662
41,5.261817505619194
42,8.649439537894011
43,6.431924095673765
44,0.27912928763466427
45,8.79308554007731
46,7.324926657686171
47,8.2515805562314
48,9.660722903235602
49,6.895305462252835
50,7.094574982768236
51,7.933972308980114
52,8.325369401025029
53,5.119743327491161
54,6.318417580386791
55,3.536687943260424
56,6.099037256854069
57,5.382576947847668
58,6.275903051210974
59,4.47353911982797
60,5.19109626881324
61,4.254550524673865
62,2.37934490189409
63,1.2391558385035357
64,9.860779765011777
65,12.91430067496907
66,10.12862315438581
67,8.043713437798353
68,8.675563616420135
69,6.126716351231777
70,4.775852008509692
71,6.473777632718979
72,11.31500908034408
73,9.106171756785368
74,7.923128970667441
75,7.322560705199694
76,10.83723859258992
77,17.030051811372065
78,7.610296585941354
79,7.60436108440433
80,5.661129926621068
81,5.2436499252428055
82,10.531028847155707
83,10.077119525379988
84,2.4675933481075614
85,5.175857253471844
86,3.646434693732304
87,6.866530219359753
88,19.570719446760155
89,8.641694466371863
