id,label
0,5
1,3
2,6
3,6
4,0
5,2
6,0
7,6
8,4
9,3
10,1
11,3
12,4
13,4
14,3
15,4
16,0
17,4
18,4
19,2
20,3
21,3
22,3
23,3
24,0
25,3
26,3
27,6
28,4
29,5
30,6
31,3
32,0
33,3
34,0
35,0
36,4
37,6
38,3
39,4
40,0
41,3
42,4
43,2
44,2
45,3
46,6
47,6
48,6
49,3
50,3
51,0
52,5
53,6
54,3
55,0
56,0
57,6
58,3
59,3
60,0
61,3
62,6
63,0
64,6
65,6
66,0
67,3
68,3
69,3
70,5
71,6
72,5
73,2
74,3
75,4
76,4
77,3
78,6
79,6
80,6
81,3
82,0
83,3
84,3
85,0
86,5
87,2
88,0
89,3
90,6
91,3
92,5
93,5
94,6
95,6
96,0
97,6
98,3
99,0
100,3
101,3
102,6
103,6
104,4
105,6
106,0
107,3
108,3
109,5
110,3
111,4
112,3
113,4
114,6
115,2
116,5
117,3
118,6
119,4
120,6
121,2
122,4
123,3
124,0
125,5
126,5
127,3
128,2
129,3
130,6
131,3
132,0
133,6
134,4
135,3
136,4
137,3
138,3
139,4
140,6
141,3
142,5
143,5
144,4
145,6
146,5
147,0
148,6
149,4
150,5
151,4
152,4
153,5
154,0
155,5
156,3
157,2
158,5
159,3
160,6
161,6
162,3
163,3
164,0
165,4
166,0
167,6
168,5
169,4
170,5
171,4
172,5
173,3
174,2
175,5
176,6
177,6
178,5
179,3
180,6
181,3
182,3
183,4
184,3
185,3
186,6
187,3
188,4
189,6
190,3
191,3
192,0
193,0
194,3
195,4
196,3
197,4
198,2
199,0
200,6
201,2
202,6
203,3
204,4
205,4
206,3
207,3
208,2
209,0
210,4
211,0
212,4
213,0
214,3
215,0
216,5
217,2
218,6
219,4
220,3
221,3
222,4
223,4
224,6
225,4
226,0
227,6
228,6
229,6
230,4
231,4
232,5
233,6
234,3
235,6
236,6
237,6
238,4
239,4
240,4
241,3
242,0
243,4
244,2
245,6
246,3
247,4
248,2
249,0
250,5
251,5
252,3
253,6
254,6
255,0
256,3
257,0
258,2
259,4
260,6
261,0
262,5
263,3
264,3
265,3
266,6
267,0
268,0
269,5
270,4
271,0
272,4
273,4
274,4
275,0
276,5
277,3
278,3
279,2
280,3
281,2
282,6
283,3
284,6
285,4
286,0
287,4
288,5
289,4
290,3
291,3
292,4
293,2
294,4
295,0
296,3
297,6
298,6
299,3
300,3
301,3
302,6
303,6
304,4
305,0
306,5
307,5
308,6
309,3
310,0
311,2
312,6
313,3
314,5
315,0
316,6
317,4
318,4
319,0
320,3
321,0
322,0
323,0
324,6
325,0
326,6
327,0
328,0
329,6
330,3
331,4
332,2
333,6
334,3
335,0
336,3
337,5
338,2
339,3
340,5
341,0
342,3
343,6
344,4
345,3
346,6
347,6
348,3
349,0
350,6
351,5
352,0
353,5
354,5
355,6
356,5
357,3
358,3
359,3
360,2
361,2
362,3
363,5
364,3
365,4
366,4
367,4
368,2
369,4
370,2
371,6
372,6
373,6
374,6
